za 01 ;19:00;NTGent - Ik wil dat jij een beer wordt ;jeugd/familie ;Rabobank zaal ,,
za 01 ;20:15;Mory Kant ;wereldmuziek ;AEGON zaal ,,
zo 02 ;15:00;Brussels Jazz Orchestra ;jazz ;Deloitte zaal ,,
zo 02 ;15:00;Calefax Rietkwintet - Lik op stuk ;klassieke muziek ;Rabobank zaal ,,
di 04 ;20:15;Hair - De love-rockmusical 1967-2009 ;musical ;AEGON zaal ,,
di 04 ;20:30;Het Zuidelijk Toneel - Een Carmen ;muziektheater ;Rabobank zaal ,,
wo 05 ;19:00;mightysociety5 met De Noorderlingen ;toneel ;Deloitte zaal ,,
wo 05 ;20:30;Slagwerkgroep Den Haag - Global warming ;klassieke muziek ;Rabobank zaal ,,
do 06 ;19:00;mightysociety5 met De Noorderlingen ;toneel ;Deloitte zaal ,,
do 06 ;20:30;Sarah Bettens ;populaire muziek ;Rabobank zaal ,,
vr 07 ;12:30;Stichting Jeugd Concerteert - Gratis lunchconcert ;klassieke muziek ;Friesche Vlag Foyer ,,
vr 07 ;19:00;mightysociety5 met De Noorderlingen ;toneel ;Deloitte zaal ,,
vr 07 ;20:15;Theaterkoor Animato - La belle Hel�ne ;te gast ;AEGON zaal ,,
vr 07 ;20:30;Richard Groenendijk - Na de wedstrijd ;cabaret ;Rabobank zaal ,,
za 08 ;19:30;Noord Nederlands Orkest - Johannes Passion ;klassieke muziek ;Grote Kerk ,,
za 08 ;20:15;Theaterkoor Animato - La belle Hel�ne ;te gast ;AEGON zaal ,,
za 08 ;20:30;Uitgedokterd - Han R�mer, Carolien van den Berg e.a. ;toneel ;Rabobank zaal ,
ma 10 ;19:00;Het Toneel Speelt - De geschiedenis van de familie Avenier - deel 3 en 4 ;toneel ;AEGON zaal ,,
di 11 ;19:00;Het Toneel Speelt - De geschiedenis van de familie Avenier - deel 3 en 4 ;toneel ;AEGON zaal ,,
di 11 ;20:30;Jim de Groot en de Matangia s - De kleine man ;populaire muziek ;Rabobank zaal ,,
wo 12 ;20:15;Golden Music Moments - The Greatest Songs of the 50 and Early 60 show ;entertainment ;AEGON zaal ,,
wo 12 ;20:30;Comedytrain ;cabaret ;Rabobank zaal ,,
do 13 ;20:15;The China Girls ;entertainment ;AEGON zaal ,,
do 13 ;20:30;Dani�l Lohues - Allennig II ;populaire muziek ;Deloitte zaal ,,
do 13 ;20:30;Tom Lanoye & Antjie Krog - Geletterde mensen ;literair/slal ;Rabobank zaal ,,
vr 14 ;20:15;Nederlands Dans Theater II - Dream play ;dans ;AEGON zaal ,,
vr 14 ;20:30;Deborah J. Carter Quartet - Hothouse Redbad ;jazz ;Deloitte zaal ,,
vr 14 ;20:30;maart Rot en Marjolein Meijers - An + maart gaan landelijk ;cabaret ;Rabobank zaal ,,
za 15 ;20:30;maart Rot en Marjolein Meijers - An + maart gaan landelijk ;cabaret ;Rabobank zaal ,,
za 15 ;20:15;The China Girls ;entertainment ;AEGON zaal ,,
